Code Client,Intitulé,Tél 1,Tél 2,Profession,Société,Mail,Adresse
41120626,LIB CHARFI MAKNINE,73 474 383,,,LIB CHARFI MAKNINE,,BEBELFECIL MOKNINE
41120627,LIB VICTOR HUGO SOUSSE TRK.DER,,,,LIB VICTOR HUGO SOUSSE TRK.DER,,SOUSSE
41120628,LIB SAHBI MENZEL EL FERSI,98.572 008,,,LIB SAHBI MENZEL EL FERSI,,MONASTIR
41120629,LIB EL EMTIEZ BEMBLA,20 934 560,,FREDJ HAMIDA,LIB EL EMTIEZ BEMBLA,,AVENUE FARHAT HACHED BEMBLA
41120630,LIB PAPETERIE MELLENNIUM,71 502 899,,,LIB PAPETERIE MELLENNIUM,,52 AV HABIB BOURGUIB
41120631,LIB ENNAJEH SOUASSI,97833328,,MR SAMIR BEN HAMMOUDA,LIB ENNAJEH SOUASSI,,SOUASSI
41120632,LIB EL AHLAK MOKNINE,73.474 584,,,LIB EL AHLAK MOKNINE,,MOKNINE
41120633,LIB ENNAJEH KAIROUAN,,,,LIB ENNAJEH KAIROUAN,,KAIROUAN
41120634,LIB IMEN AMIRET ETTAOUZRA,,,,LIB IMEN AMIRET ETTAOUZRA,,AMIRAT TOUAZRA
41120635,LIB AICHA JEMMAL,73 484 954,,,LIB AICHA JEMMAL,,67 RUE TAIB EL MHIRI
41120636,LIB ENNAJEH CITE ERRIAD KSAR HELEL,,,,LIB ENNAJEH CITE ERRIAD KSAR HELEL,,CITE ERRIAHD
41120637,LIB AMENI SIDI BOUZID,,,,LIB AMENI SIDI BOUZID,,SIDI BOUZID
41120638,LIB EL MONSER TEBOULBA,52911319,22 911 319,73 493 650,LIB EL MONSER TEBOULBA,,16 RUE 7 NOVEMBRE
41120639,LIB ANISSA BEB EL KRAM,,,,LIB ANISSA BEB EL KRAM,,BEB EL KRAM MONASTIR
41120640,LIB CHRAYET TOZEUR,,,,LIB CHRAYET TOZEUR,,TOZEUR
41120641,LIB SMAOUI GAFSA,,,,LIB SMAOUI GAFSA,,GAFSA
41120642,LIB EL FAOUZ JILMA,,,,LIB EL FAOUZ JILMA,,JILMA
41120643,LIB FEKR SIDI ALI BELHOUANE,,,,LIB FEKR SIDI ALI BELHOUANE,,SIDI ALI BELHOUANE
41120644,LIB BEYROUT BIR LAHFAY,98 568 043,,SIDI ABDELKADER,LIB BEYROUT BIR LAHFAY,,BIR LAHFAY
41120645,LIB RIM NASRALLAH,,,,LIB RIM NASRALLAH,,NASRALLAH
41120646,LIB EL ETTIHAD JELMA,77 360 241,,,LIB EL ETTIHAD JELMA,,JELMA
41120647,LIB DE LA CULTURE FERYANA,,,,LIB DE LA CULTURE FERYANA,,FERYANA
41120648,LIB KAOUS KOUSAH  ENNFIDA,,,,LIB KAOUS KOUSAH  ENNFIDA,,ENNFIDA
41120649,LIB EL MOSTAKBEL GAAFOUR,95.642421,,RIDHA EL WESLATI,LIB EL MOSTAKBEL GAAFOUR,,RUE EL JOMHOURIA GAAFOUR
41120650,LIB EL ANDALOUS KASSERINE,,,,LIB EL ANDALOUS KASSERINE,,KASSERINE
41120651,LIB ENNASR KASSERINE,,,,LIB ENNASR KASSERINE,,KASSERINE
41120652,LIB BEN OTHMAN ESSERS,,,,LIB BEN OTHMAN ESSERS,,EL KEF   ESSERS
41120653,LIB ENNOUR HAFFOUZ,98.969 167,,,LIB ENNOUR HAFFOUZ,,HAFFOUZ
41120654,LIB SAIF HAFFOUZ,,,,LIB SAIF HAFFOUZ,,HAFFOUZ
41120655,LIB ENNAJEH EL AALA,,,,LIB ENNAJEH EL AALA,,KAIROUAN
41120656,LIB EL WAFA 2 MOKNINE,99.858121,,HEDI BELGACEM,LIB EL WAFA 2 MOKNINE,,RUE ABDALLAH EZZOUAGHI 5050 MOKNINE
41120657,LIB EL EMTIEZ MEGRINE,,,,LIB EL EMTIEZ MEGRINE,,MEGRINE
41120658,LIB B ABDEL GHANI SAMI,,,,LIB B ABDEL GHANI SAMI,,SOUSSE
41120659,LIB EL EMTIEZ BIR LAHFAY,,,,LIB EL EMTIEZ BIR LAHFAY,,BIR LAHFAY
41120661,LIB KARIM ERRDEIF,,,,LIB KARIM ERRDEIF,,ERRDEIF
41120662,LIB AMEL NASRALLAH,,,,LIB AMEL NASRALLAH,,NASRALLAH
41120663,LIB JAWAHER ZARAMDINE,98 565 353,,FOUZIA NCHIA,LIB JAWAHER ZARAMDINE,,AVENUE HABIB BOURGUIBA ZERAMDINE
41120666,LIB CHERIF GAFSA,,,,LIB CHERIF GAFSA,,GAFSA
41120667,LIB ETTAHRIR ERREDEIF,,,,LIB ETTAHRIR ERREDEIF,,GAFSA
41120668,LIB BOUZID GAFSA,20 208 967,,MR ABDELMOKTADER,LIB BOUZID GAFSA,,GAFSA
41120669,LIB DE LA FACULTE MAHDIA,,,,LIB DE LA FACULTE MAHDIA,,MAHDIA
41120670,LIB ENNAJEH SIDI ZID SOUASSI,73 693 506,95 157 222,MR CHATTI EL GHALI,LIB ENNAJEH SIDI ZID SOUASSI,,SIDI ZID SOUASSI
41120671,LIB BEN NASR ANIS MONASTIR,22.296 521,,,LIB BEN NASR ANIS MONASTIR,,MONASTIR
41120672,LIB EL WAFA MATEUR,,,,LIB EL WAFA MATEUR,,MATEUR
41120673,LIB EZZOUHOUR GAFSA,76 225 259,22 04 59 20,ZAKIA,LIB EZZOUHOUR GAFSA,,GAFSA
41120674,LIB EL JOUMHOURIA BEMBLA,,,,LIB EL JOUMHOURIA BEMBLA,,BEMBLA
41120675,LIB NERMIN MSAKEN,,,,LIB NERMIN MSAKEN,,MSAKEN
41120676,LIB PALMIER EL HAMA JERRID,,,,LIB PALMIER EL HAMA JERRID,,EL HAMA JERRID
41120677,LIB AFEK MSAKEN,73.257 804,,,LIB AFEK MSAKEN,,RUE MARTIER HAFSA
41120678,LIB GUEMAR BEN ABED EL JEM,,,,LIB GUEMAR BEN ABED EL JEM,,EL JEM
41120679,LIB ALADIN SAHLINE,22180005,73.525 613,ALA EDDINE AMAMOU,LIB ALADIN SAHLINE,,AVENUE HABIB BOURGUIBA SAHLINE
41120680,LIB EDRISS SOUSSE,,,,LIB EDRISS SOUSSE,,SOUSSE
41120681,LIB KHALED EBN EL WALID MONASTIR,98.827 667,,,LIB KHALED EBN EL WALID MONASTIR,,MONASTIR
41120682,LIB EL EMTIEZ SILIANA,78.870 456,,,LIB EL EMTIEZ SILIANA,,SILIANA
41120683,LIB ENNASR KALAAT SNEN,78 297 094,96 726 940,MR ELMI WAZA,LIB ENNASR KALAAT SNEN,,KALAAT SNEN
41120684,LIB ESSALEM ERREDEIF,,,,LIB ESSALEM ERREDEIF,,ERREDEIF
41120686,LIB ENNAOURES MSAKEN,,,,LIB ENNAOURES MSAKEN,,MSAKEN
41120688,LIB EL MOSTAKBEL  KALAAT SNEN,,,,LIB EL MOSTAKBEL  KALAAT SNEN,,KALAAT SNEN
41120689,LIB EL EMTIEZ TUNIS,,,,LIB EL EMTIEZ TUNIS,,TUNIS
41120690,LIB ENNEBI MOKNINE,98 277 213,,AHMED ENNEBLI,LIB ENNEBI MOKNINE,,RUE DE KOUBINE MOKNINE
41120691,LIB L'EXCELLENCE D INFORM,73.425 777,,,LIB L'EXCELLENCE D INFORM,,MONASTIR
41120692,LIB EL ONAS  BEKALTA,73 677 305,,ABD EL KARIM ZEIENE,LIB EL ONAS  BEKALTA,,RUE AHMED EL MACHTA BEKALTA
41120693,LIB EL FAOUZ KSAR HELEL,,,,LIB EL FAOUZ KSAR HELEL,,CITE ERRIADH KSAR HELEL
41120694,LIB AOULED ABDALLAH CHEBBA,22 873 924,,,LIB AOULED ABDALLAH CHEBBA,,CHEBBA
41120695,LIB EL FATH MNARA,,97.459194,,LIB EL FATH MNARA,,MNARA
41120696,LIB EL MAHDI MAHDIA,,,,LIB EL MAHDI MAHDIA,,MAHDIA
41120697,LIB EL KALEM BOUSSALEM,,,,LIB EL KALEM BOUSSALEM,,TUNIS
41120698,LIB SOUHEIL SAHLINE,73 330 505,,,LIB SOUHEIL SAHLINE,,SOUSSE
41120699,LIB SIB MONASTIR,98 525 700,,,LIB SIB MONASTIR,,MONASTIR
41120700,LIB EL MAAREF SAHLINE,98.277.207,,BADREDDINE YOUNES,LIB EL MAAREF SAHLINE,,RUE NOUVELLE SAHLINE
41120701,LIB EL KOLIA MAHDIA,,,,LIB EL KOLIA MAHDIA,,MAHDIA
41120702,LIB EL FEKR BEMBLA,98 454 819,,ABD ELJALIL LAZREG,LIB EL FEKR BEMBLA,,AVENUE 07 NOVEMBRE BEMBLA
41120703,LIB IDERYET ALAOUI,,,,LIB IDERYET ALAOUI,,OME LAHREISS
41120704,LIB EL FOUNOUN EL JEM,,,,LIB EL FOUNOUN EL JEM,,EL JEM
41120705,LIB KHAZWA WAHA,,,,LIB KHAZWA WAHA,,?
41120706,LIB HALA GBELLI,,,,LIB HALA GBELLI,,KEBILI
41120707,***LIB EL HAFNAOUI JAMEL,,,,***LIB EL HAFNAOUI JAMEL,,JAMMEL
41120708,LIB EL MARKAZIA  K ESSEF,,,,LIB EL MARKAZIA  K ESSEF,,K.ESSEF
41120709,LIB ETTAOUFIK KALHA ESSRIRA,,,,LIB ETTAOUFIK KALHA ESSRIRA,,EL KALAA ESSRIRA
41120710,LIB WIRAKA MOKNIN,,,,LIB WIRAKA MOKNIN,,MOKNINE
41120711,LIB EL MADINA SIDI BOUZID,,,,LIB EL MADINA SIDI BOUZID,,AV HABIB BOURGUIBA
41120712,LIB AMAR K. HELLEL,,,,LIB AMAR K. HELLEL,,K.HELLEL
41120713,LIB CHEMES AKOUDA,,,,LIB CHEMES AKOUDA,,AKOUDA
41120714,LIB KHEREDDINE PACHA SILIANA,78 872 297,,,LIB KHEREDDINE PACHA SILIANA,,7RUE KHEREDDINE PACH
41120715,LIB EL FAOUZ SOUSSE,,,,LIB EL FAOUZ SOUSSE,,RUE 22 JANVIER  SOUS
41120716,LIB ENNAJEH HAJEB LAYOUN-SAID SEBAI-,96987856,25400907,,LIB ENNAJEH HAJEB LAYOUN-SAID SEBAI-,,HAJEB LAYOUN
41120717,LIB EL MAAHED SEBIBA,98 98 45 46,77 488 275,MR BECHIR SEMIRI,LIB EL MAAHED SEBIBA,,KASERINE
41120718,LIB ERRAJAA KAIROUAN,,,,LIB ERRAJAA KAIROUAN,,KAIROUAN
41120719,LIB EL KADES SIDI HASSEN,71.537 143,,,LIB EL KADES SIDI HASSEN,,RUE 4850 NUM 110 SID
41120720,LIB EL MOSTAKBEL MEL JEMIL,72 440 630,,,LIB EL MOSTAKBEL MEL JEMIL,,AVENUE HABIB BOURGUI
41120721,LIB ETTELMITH KALAA ESGUIRA,73.298 587,,,LIB ETTELMITH KALAA ESGUIRA,,RUE MOHAMED ERJEB
41120722,LIB AREF H. SOUSSE,73 362 584,97 223 083,NEJIB 98 536 096,LIB AREF H. SOUSSE,,H. SOUSSE
41120723,LIB NACEUR MDEMACH TEBOULBA,73 479 040,,,LIB NACEUR MDEMACH TEBOULBA,,TEBOULBA
41120724,LIB EL AMEL JELMA,,,,LIB EL AMEL JELMA,,JELMA
41120725,LIB ETTAOUFIK SIDI BOUZID,76 621 727,98 235 902,HICHEM BAYAOUI 99 097049/99235902,LIB ETTAOUFIK SIDI BOUZID,,SIDI BOUZID
41120726,LIB EL AHMADI HAMMEM LINF,97.313 771,71292622 STB,MME BOUJOMAA,LIB EL AHMADI HAMMEM LINF,71 436 549,BOU MHELLE
41120727,LIB BEN MANDHOUR GAFSA,98 429 131,76 220 332,WALID BEN MANDHOUR,LIB BEN MANDHOUR GAFSA,,RUE EL MONGI SLIM
41120728,LIB ENNOUJOUM KSOUR ESSEF,,,,LIB ENNOUJOUM KSOUR ESSEF,,RUE DE PALASTINE STA
41120729,LIB ENNAJEH GOUACEM CHORBANE,,,,LIB ENNAJEH GOUACEM CHORBANE,,CHORBANE
41120730,LIB HAFNAOUI JEMMEL,73 486 609,96 533 103,HABIB HAFNAOUI,LIB HAFNAOUI JEMMEL,,AV. HABIB BOURGUIBA
41120731,LIB EBN KHALDOUNE MONASTIR,98 556 354,,MR MOHAMMED AMEUR,LIB EBN KHALDOUNE MONASTIR,,MONASTIR
41120732,LIB AIDA AOULED ABDALLAH,73 380 358,,,LIB AIDA AOULED ABDALLAH,,AOULED ABDALLAH
41120733,LIB EL FAOUZ ESSOUASI,,,,LIB EL FAOUZ ESSOUASI,,NOUVEAU CITE COMMARC
41120734,LIB RADHOUAN ZAGHAN,,,,LIB RADHOUAN ZAGHAN,,ZAGHAN
41120735,LIB MALEK ENFIDHA,,,,LIB MALEK ENFIDHA,,ENFIDHA
41120737,****LIB EZZOUHOUR TEBOULBA,,,,****LIB EZZOUHOUR TEBOULBA,,TEBOLBA
41120738,LIB EL BASSATINE TEBOULBA,,,,LIB EL BASSATINE TEBOULBA,,TEBOULBA
41120739,LIB ESSALAM  MESHADDINE,,,,LIB ESSALAM  MESHADDINE,,MESHADDINE
41120740,*****LIB BECHIE AMAR BENI HASSEN,73 490 644,,BECHIR AMMAR,*****LIB BECHIE AMAR BENI HASSEN,,BENI HASSEN
41120741,LIB ECHOURROUK JEMMAL,97.316836,22 756 182,MR MOHAMMED ALI BAGANE,LIB ECHOURROUK JEMMAL,,AV DE LA LIBERTE JEMMEL
41120742,LIB EL KODS 2 MTR,97 367471,98 255542,MR IMED CHELBI,LIB EL KODS 2 MTR,,RUE EBN EL JAZZAR 5000 SKANES MONASTIR
41120743,LIB ECHIKH HAMED EL METLAOUI,97338723,76 242 330,52 976 628,LIB ECHIKH HAMED EL METLAOUI,,EL METLAOUI
41120744,LIB RAMSIS BEMBLA,20943731,73478568,,LIB RAMSIS BEMBLA,25 683 502 HAYTHEM,AVENUE HABIB BOURGUIBA BEMBLA
41120745,LIB LA LIBERTE CHERAHIL,73 693 186,73404139,MR FETHI BEN AHMED 95 563572,LIB LA LIBERTE CHERAHIL,,AV.DE BOULLEVARD
41120747,LIB RAMSISBENBLA CONTENTIEUX,,,,LIB RAMSISBENBLA CONTENTIEUX,,BENBLA
41120748,LIB ETTAOUFIK SIDI AMEUR,97 594 311,,NAJEH BEL HAJ MABROUK,LIB ETTAOUFIK SIDI AMEUR,,RUE.AISSA BEN MESKINE SIDI AMEUR
41120749,LIB SIWAR MONASTIR,26.514.788,94 768 051,MME ALYA,LIB SIWAR MONASTIR,,MONASTIR
41120750,LIB JOU JOU MONASTIR,,,,LIB JOU JOU MONASTIR,,MONASTIR
41120751,LIB EL ESLAME KSAR HELEL,,,,LIB EL ESLAME KSAR HELEL,,KSAR HELEL
41120752,LIB EL FAOUZ BOUHAJLA,,,,LIB EL FAOUZ BOUHAJLA,,BOUHAJLA
41120754,LIB CHOUCHANE AMIRET FHOUL,95.645305,,JAMEL CHOUCHANE,LIB CHOUCHANE AMIRET FHOUL,,EN FACE DE LYCEE SEC
41120755,LIB 7 NOVEMBRE JEMMAL,,,,LIB 7 NOVEMBRE JEMMAL,,JEMMAL
41120756,LIB ESSELEM ZARMDINE,,,,LIB ESSELEM ZARMDINE,,ZARMDINE
41120757,LIB EL MEHDI MONASTIR,50.351424,,,LIB EL MEHDI MONASTIR,,MONASTIR
41120758,LIB EL FAOUZ MZAOUGHA,73 596 004,97.557954,,LIB EL FAOUZ MZAOUGHA,,SALMA MNEJJA MZAOUGH
41120759,LIB EL BECHEIR ENNFIDHA,97554348,,,LIB EL BECHEIR ENNFIDHA,,ENNFIDHA
41120760,LIB ETTAOUFIK AOULED SLIMEN,,,,LIB ETTAOUFIK AOULED SLIMEN,,AOULED SLIMEN
41120761,STE HECHMI ALLEUGUI WARDANINE,73.518 241,98 244 308,MR HECHMI ALLEUGUI/MME ALLEGUE 96901583,STE HECHMI ALLEUGUI WARDANINE,95 168 552,16 AVENUE SIKELLIA OUARDANINE
41120762,LIB ESMAOUI GAFSA,,,MR RIDHA,LIB ESMAOUI GAFSA,,GAFSA
41120764,LIB EL KODS JEMMAL,,,,LIB EL KODS JEMMAL,,JEMMAL
41120765,LIB CHEDDI KALAA EL KHESBA,,,,LIB CHEDDI KALAA EL KHESBA,,KALAA EL KESSBA
41120766,LIB ENNAJEH ZARMDDINE,73 254 682,98 288 353,MARWA BEL GACEM,LIB ENNAJEH ZARMDDINE,95565729 MEDIOUNI BEL GACEM,RUE HASSEN HOSNI ABD ELWAHEB ZERAMDINE
41120767,LIB EL MANAR BEN KHIRIA JEMMEL VOIR 41120810,73 482 851,96 257 920,SALEM BEN ABDERRAHMEN,LIB EL MANAR BEN KHIRIA JEMMEL VOIR 41120810,,AVENUE ENVIRONNEMENT JEMMAL
41120769,LIB GAMA KHNISS,,,,LIB GAMA KHNISS,,KHNISS
41120771,LIB EL JOUMHOURIA ERGUEB,,,,LIB EL JOUMHOURIA ERGUEB,,ERGUEB
41120772,LIB TOUIR EL MAAREF ZERAMDINE,98 947 409,,,LIB TOUIR EL MAAREF ZERAMDINE,,15 RUE MONGI SLIM N
41120773,LIB ABOU ZID GAFSA,20 208 967,,MR ABDEL MOKTADER,LIB ABOU ZID GAFSA,,AV .HABIB BOURGUIBA GAFSA
41120774,LIB EL AMEL TEBOULBA,,,,LIB EL AMEL TEBOULBA,,FAVLINE TEBOULBA
41120775,***LIB BAIRAM EL ALAIN,,,,***LIB BAIRAM EL ALAIN,,KAIROUAN
41120776,LIB EL FAOUZ MENZEL EL HAYET,,,,LIB EL FAOUZ MENZEL EL HAYET,,MENZEL EL ENNOUR
41120777,LIB KTARI SAYADA,,,,LIB KTARI SAYADA,,SAYADA
41120778,LIB ENNAJEH KSOUR ESSEF,,,,LIB ENNAJEH KSOUR ESSEF,,KSOUR ESSEF
41120779,LIB BAREK SIDI ALOUAN,,,,LIB BAREK SIDI ALOUAN,,SIDI ALOUAN
41120780,LIB ECHAHED MAKNASSI,,,,LIB ECHAHED MAKNASSI,,MAKNASSI
41120781,LIB LES ETOILES KALAA EL  KEBIRA,,,,LIB LES ETOILES KALAA EL  KEBIRA,,RUE HEDI CHAKER
41120782,LIB EL AZHAR OMLARAYES,,,,LIB EL AZHAR OMLARAYES,,OMLARAYES
41120783,LIB LA LIBERTE KALAA EL KEBIRA,,,,LIB LA LIBERTE KALAA EL KEBIRA,,RUE YOUSSEF GAZZEH
41120784,LIB NICHAOUIA EL GTAR,,,,LIB NICHAOUIA EL GTAR,,AV ECHOUHADA EL GTAR
41120785,LIB EL FARABI GAFSA,,,,LIB EL FARABI GAFSA,,GAFSA
41120786,LIB ENNOUR SOUK EL AHAD,,,,LIB ENNOUR SOUK EL AHAD,,SOUK EL AHED
41120787,LIB ECHARK MENASSI,,,,LIB ECHARK MENASSI,,MENASSI
41120788,LIB ABOU EL KACEM CHEBI MEKNASI,,,,LIB ABOU EL KACEM CHEBI MEKNASI,,MEKNASI
41120789,LIB CHEBBI KEBILLI,,,,LIB CHEBBI KEBILLI,,KEBILLI
41120790,LIB ENNAJEH TAMAGZA-MOHAMED TEBBISI,99 644 531,96 731 210,MR MOHAMED TEBBISSI,LIB ENNAJEH TAMAGZA-MOHAMED TEBBISI,93 892 894-97090356 WALID,BUREU DE POSTE HAMMET EL JARID 2214 TOZEUR
41120791,LIB IKRAA  (TEJ) ZERAMDINE,,,HATEM TEJ,LIB IKRAA  (TEJ) ZERAMDINE,,CITE COMMERCIALE ZERAMDINE
41120792,LIB ZITOUNA MEKNASSI,98.417.287,,MR MED SADEK KHABNI,LIB ZITOUNA MEKNASSI,,MEKNASSI
41120793,LIB EL HIDAYA ERREDEIF,,,,LIB EL HIDAYA ERREDEIF,,ERREDEIF
41120794,LIB EL AMIR BENNENE,,,,LIB EL AMIR BENNENE,,BENNENE
41120795,LIB BEN NEJIMA KSOUR ESSAF,73664511,73 664 511,MR MUSTAPHA BEN NJIMA,LIB BEN NEJIMA KSOUR ESSAF,,AVENUE HABIB BOURGUI KSOUR ESSEF
41120796,LIB ESSABER MAHDIA,,,,LIB ESSABER MAHDIA,,RUE BECHIR ESFAR
41120797,LIB EL EMTIAZ MONASTIR,21.756981,97.522565,73.449162,LIB EL EMTIAZ MONASTIR,,MONASTIR
41120798,LIB EL MASIRA DOUZ,75.471 995,,,LIB EL MASIRA DOUZ,,DOUZ 4260
41120799,LIB ERROUKI MONASTIR,20 785 925,73 505 491,73 501 397,LIB ERROUKI MONASTIR,,MONASTIR
41120800,LIB A B C MONASTIR,,,,LIB A B C MONASTIR,,MONASTIR
41120801,LIB EL FAOUZ KHENIS,,,,LIB EL FAOUZ KHENIS,,ROUTE LYBIE N5 KNISS
41120802,LIB ENNAJEH SAYADA,73 430 303,24 010 390,CHARIAA TAHAR,LIB ENNAJEH SAYADA,,RUE DE L'INDEPENDANCE SAYADA
41120803,LIB DE LA CULTURE KASSERINE,,,,LIB DE LA CULTURE KASSERINE,,KASSERINE
41120804,LIB CHEMES HEDADRA,,,,LIB CHEMES HEDADRA,,HEDADRA
41120805,LIB ENNOUR AOULED HAFFOUZ,,,,LIB ENNOUR AOULED HAFFOUZ,,AOULED HAFFOUZ
41120806,LIB EL ENCHIRAH MONASTIR,,,,LIB EL ENCHIRAH MONASTIR,,R4 N 100
41120807,LIB AAICHA SOUSSE,,,,LIB AAICHA SOUSSE,,SOUSSE
41120808,LIB ENNOUR SAKIET SIDI YOUSSEF,97870961,78259561,MR MOULDI EL ABIDI,LIB ENNOUR SAKIET SIDI YOUSSEF,,CITE ETTAHRIR N° 21 SAKIET SIDI YOUSSEF 7120
41120809,LIB ALADIN  BEMBLA,22 723 460,,WEJDI BOU ATAY,LIB ALADIN  BEMBLA,,AVENUE HABIB BOURGUIBA BEMBLA
41120810,LIB EL MANAR BEN KHERIA JEMMEL,73 486 703,,SAMIA BEN KHIRIA,LIB EL MANAR BEN KHERIA JEMMEL,,CITE EL MANAR N54 JAMMEL
41120811,LIB ENNAJEH TUNIS,,,,LIB ENNAJEH TUNIS,,TUNIS
41120812,LIB HAYDER KSOUR ESSAF,,,,LIB HAYDER KSOUR ESSAF,,KSOUR ESSAF
41120813,LIB EL BAHRI MONASTIR,,,,LIB EL BAHRI MONASTIR,,MONASTIR
41120814,LIB ALADIN TUNIS,98.997 666,,,LIB ALADIN TUNIS,,TUNIS
41120815,LIB EL JOMHOURIA JEMMEL,,,,LIB EL JOMHOURIA JEMMEL,,JEMMEL
41120817,LIB EL EMTIEZ EL ALAA KAIROUAN,77.256251,97 347 265,MR MEHDI OUESLATI,LIB EL EMTIEZ EL ALAA KAIROUAN,,RUE 18 JANVIER EL ALLA KAIROUAN
41120818,LIB HARBAOUI GAAFOUR,428577,,,LIB HARBAOUI GAAFOUR,,AV.H.BOURGUIBA GAAFOUR
41120819,LIB SAIDA CHEBIL TEBOULBA,,,,LIB SAIDA CHEBIL TEBOULBA,,TEBOULBA
41120820,LIB EL FERDAOUSE MONASTIR,,,,LIB EL FERDAOUSE MONASTIR,,RUE LACHBOUNA ESSOUA
41120821,LIB BESBES MONASTIR,,,,LIB BESBES MONASTIR,,MONASTIR
41120822,LIB EL HEND TUNIS,,,,LIB EL HEND TUNIS,,RUE LE HEND TUNIS
41120823,LIB CHAABIA MOKNINE,,,,LIB CHAABIA MOKNINE,,RUE EL JOMHOURIA MOK
41120824,LIB IMEM EL MZRI MONASTIR,73 501 742,92 986 596,MOUNIR,LIB IMEM EL MZRI MONASTIR,,RTE DE KAIROUAN MONASTIR
41120825,LIB ENNASRI SIHEM JEMMEL,22 58 22 13,,MR KHALED NASRI,LIB ENNASRI SIHEM JEMMEL,,RUE DU STADE N 7 JEM
41120827,LIB INES BENNANE,,,,LIB INES BENNANE,,RUE EL BIA BENNANE
41120828,LIB WALID EL JEM,,,,LIB WALID EL JEM,,RUE HABIB THAMEUR
41120829,LIB CHEIMA K MEDIOUNI,97 258 262,,CHEIMA,LIB CHEIMA K MEDIOUNI,,RUE 18 JANVIER
41120830,LIB KARIM MENZEL ENNOUR,,,,LIB KARIM MENZEL ENNOUR,,RUE BOURGUIBA
41120831,LIB EL MANAR SIDI BOUZID,,,,LIB EL MANAR SIDI BOUZID,,SIDI BOUZID
41120832,LIB EZZOUHOUR MOKNINE,,,,LIB EZZOUHOUR MOKNINE,,MOKNINE
41120833,LIB ETTAOUFIK MOKNINE,,,,LIB ETTAOUFIK MOKNINE,,RUE EL JOMHORIAN5
41120834,LIB HENDA SOUKI MONASTIR,,,,LIB HENDA SOUKI MONASTIR,,MONASTIR
41120835,LIB LA LIBERTE SBIBA,,,,LIB LA LIBERTE SBIBA,,SBIBA
41120836,LIB EL MAAREF MOKNINE,96 604 002,96 604 001,RACHED BEN DHIYA,LIB EL MAAREF MOKNINE,,RUE DE LA REPUBLIQUE MOKNINE
41120837,LIB EL MOUREBBI BENNEN,,,,LIB EL MOUREBBI BENNEN,,AVENUE HABIB BOURGUI
41120838,LIB EL HOUDA KASSERINE,,,,LIB EL HOUDA KASSERINE,,KASSERINE
41120839,LIB EL AMRA BEMBLA,,,,LIB EL AMRA BEMBLA,,BEMBLA
41120840,LIB ECHAT SOUSSE,,,,LIB ECHAT SOUSSE,,SOUSSE
41120841,LIB SOUROUR SOUSSE,,,,LIB SOUROUR SOUSSE,,ROUTE DE STADE
41120842,LIB 20 MARS BENNEN,,,,LIB 20 MARS BENNEN,,RUE 20 MARS BENNEN
41120843,LIB CHATTI M SAKEN,,,,LIB CHATTI M SAKEN,,MSAKEN
41120844,LIB ENNOUR KSIBET EL MEDIONI,97 068 220,,MME BOUTHEINA WANNES,LIB ENNOUR KSIBET EL MEDIONI,,AV.7 NOVEMBRE 1978
41120845,LIB EL FATH KAIROUAN,,,,LIB EL FATH KAIROUAN,,KAIROUAN
41120846,LIB EZZAYATINE HAFFOUZ,20 902 963,23.046.323,MR MONIA HADDADI,LIB EZZAYATINE HAFFOUZ,,RUE EZZAYATINE
41120847,LIB ENNOUR TEBOULBA,98412293,99294146,MME HAYET ET MR TAOUFIK JOMAA,LIB ENNOUR TEBOULBA,,RUE EBN KHOLDOUN 5080 TEBOULBA
41120849,LIB EL HOUDA KSIBET EL MEDIOUNI,98 965 141,,MR NOOMEN,LIB EL HOUDA KSIBET EL MEDIOUNI,,RUE ABD ELHAKIM ABD EL JAWED KSIBET EL MEDIOUNI
41120850,STE DRIRA ESPACE SERV,73 462 148,,,STE DRIRA ESPACE SERV,,MONASTIR
41120852,LIB ECHAREK BENI HASSEN,73 490 488,,,LIB ECHAREK BENI HASSEN,,BENI HASSEN
41120853,LIB CHOKRI MANSOURI,,,,LIB CHOKRI MANSOURI,,MONASTIR
41120854,LIB ERRAZI MONASTIR,73 463 178,,ABD EL HAMID HAJ SALEM,LIB ERRAZI MONASTIR,,HOUMET TRABELSSIA MONASTIR
41120856,LIB EL MAEL SAMIR,,,,LIB EL MAEL SAMIR,,RUE REMADA MONASTIR
41120857,LIB BEN TICHA RACHED JEMMAL,73.486 087,,,LIB BEN TICHA RACHED JEMMAL,,JEMMAL
41120858,LIB BAYREM haffouz -MOUNIR DIWANI-,77.256 169,23.702667,MOUNIR DIWANI 77.355867,LIB BAYREM EL ALAA-MOUNIR DIWANI-,,AV 7 NOV EL ALAA
41120859,LIB EL MONTAZAH MONASTIR,73.447 189,,,LIB EL MONTAZAH MONASTIR,,MONASTIR
41120861,LIB ENNOUR BEKALTA,73 477 049,,,LIB ENNOUR BEKALTA,,CITE NOUVELLE
41120862,LIB EL AMEL MONASTIR,98 564 877,,MR ABDERRAOUF LAWITI,LIB EL AMEL MONASTIR,,C1 MONASTIR
41120863,LIB ENNAJEH GAFSA,76 221 670,95 194 592,MR ABDERRAHMEN 96 105 309,LIB ENNAJEH GAFSA,,CITE ENNOUR GAFSA
